AREA_NAME,YEAR,GROUP_NAME,SUB_GROUP_NAME,VICTIMS_ABOVE_50_YRS,VICTIMS_TOTAL,VICTIMS_UPTO_10_15_YRS,VICTIMS_UPTO_10_YRS,VICTIMS_UPTO_15_18_YRS,VICTIMS_UPTO_18_30_YRS,VICTIMS_UPTO_30_50_YRS
Chandigarh,2002,Murder - Male Victims,1. Male Victims,1.0,22,0.0,2.0,0.0,9.0,10.0
Chhattisgarh,2002,Murder - Male Victims,1. Male Victims,80.0,616,5.0,19.0,2.0,153.0,357.0
Dadra & Nagar Haveli,2002,Murder - Male Victims,1. Male Victims,1.0,10,0.0,0.0,0.0,2.0,7.0
Daman & Diu,2002,Murder - Male Victims,1. Male Victims,0.0,6,0.0,0.0,0.0,3.0,3.0
Delhi,2002,Murder - Male Victims,1. Male Victims,26.0,411,8.0,8.0,8.0,243.0,118.0
Goa,2002,Murder - Male Victims,1. Male Victims,6.0,24,,1.0,1.0,9.0,7.0
Gujarat,2002,Murder - Male Victims,1. Male Victims,189.0,1733,16.0,72.0,31.0,723.0,702.0
Haryana,2002,Murder - Male Victims,1. Male Victims,32.0,655,8.0,4.0,4.0,336.0,271.0
Himachal Pradesh,2002,Murder - Male Victims,1. Male Victims,13.0,98,1.0,3.0,2.0,36.0,43.0
Jammu & Kashmir,2002,Murder - Male Victims,1. Male Victims,87.0,1144,0.0,0.0,2.0,493.0,562.0
Jharkhand,2002,Murder - Male Victims,1. Male Victims,238.0,1182,1.0,2.0,2.0,495.0,444.0
Karnataka,2002,Murder - Male Victims,1. Male Victims,131.0,1109,3.0,11.0,4.0,480.0,480.0
Kerala,2002,Murder - Male Victims,1. Male Victims,50.0,299,4.0,20.0,5.0,87.0,133.0
Madhya Pradesh,2002,Murder - Male Victims,1. Male Victims,144.0,1858,7.0,6.0,67.0,891.0,743.0
Maharashtra,2002,Murder - Male Victims,1. Male Victims,275.0,2025,27.0,81.0,27.0,716.0,899.0
Manipur,2002,Murder - Male Victims,1. Male Victims,5.0,208,0.0,,0.0,123.0,80.0
Meghalaya,2002,Murder - Male Victims,1. Male Victims,3.0,159,0.0,0.0,2.0,76.0,78.0
Mizoram,2002,Murder - Male Victims,1. Male Victims,2.0,20,0.0,0.0,0.0,15.0,3.0
Nagaland,2002,Murder - Male Victims,1. Male Victims,1.0,105,2.0,0.0,7.0,71.0,24.0
Odisha,2002,Murder - Male Victims,1. Male Victims,48.0,802,2.0,2.0,0.0,378.0,372.0
Puducherry,2002,Murder - Male Victims,1. Male Victims,1.0,20,,1.0,,6.0,12.0
Punjab,2002,Murder - Male Victims,1. Male Victims,44.0,631,3.0,3.0,2.0,245.0,334.0
Rajasthan,2002,Murder - Male Victims,1. Male Victims,92.0,1063,1.0,5.0,2.0,432.0,531.0
Sikkim,2002,Murder - Male Victims,1. Male Victims,,13,,,2.0,4.0,7.0
Tamil Nadu,2002,Murder - Male Victims,1. Male Victims,197.0,1269,4.0,11.0,2.0,512.0,543.0
Tripura,2002,Murder - Male Victims,1. Male Victims,22.0,189,,,0.0,95.0,72.0
Uttar Pradesh,2002,Murder - Male Victims,1. Male Victims,493.0,6085,134.0,29.0,227.0,2824.0,2378.0
Uttarakhand,2002,Murder - Male Victims,1. Male Victims,19.0,268,2.0,,1.0,77.0,169.0
West Bengal,2002,Murder - Male Victims,1. Male Victims,52.0,1181,0.0,0.0,0.0,664.0,465.0
Andaman & Nicobar Islands,2003,Murder - Male Victims,1. Male Victims,1.0,12,0.0,0.0,0.0,6.0,5.0
Andhra Pradesh,2003,Murder - Male Victims,1. Male Victims,207.0,2177,31.0,17.0,43.0,992.0,887.0
Arunachal Pradesh,2003,Murder - Male Victims,1. Male Victims,0.0,77,0.0,0.0,0.0,64.0,13.0
Assam,2003,Murder - Male Victims,1. Male Victims,55.0,1088,0.0,2.0,0.0,571.0,460.0
Bihar,2003,Murder - Male Victims,1. Male Victims,199.0,3379,2.0,2.0,3.0,1637.0,1536.0
Chandigarh,2003,Murder - Male Victims,1. Male Victims,0.0,15,1.0,0.0,0.0,5.0,9.0
Chhattisgarh,2003,Murder - Male Victims,1. Male Victims,65.0,581,8.0,16.0,2.0,228.0,262.0
Dadra & Nagar Haveli,2003,Murder - Male Victims,1. Male Victims,1.0,8,,,,3.0,4.0
Daman & Diu,2003,Murder - Male Victims,1. Male Victims,3.0,6,0.0,0.0,0.0,0.0,3.0
Delhi,2003,Murder - Male Victims,1. Male Victims,25.0,371,10.0,11.0,12.0,210.0,103.0
Goa,2003,Murder - Male Victims,1. Male Victims,2.0,20,,,,6.0,12.0
Gujarat,2003,Murder - Male Victims,1. Male Victims,82.0,808,5.0,32.0,13.0,297.0,379.0
Haryana,2003,Murder - Male Victims,1. Male Victims,31.0,597,1.0,2.0,12.0,308.0,243.0
Himachal Pradesh,2003,Murder - Male Victims,1. Male Victims,4.0,96,2.0,5.0,1.0,31.0,53.0
Jammu & Kashmir,2003,Murder - Male Victims,1. Male Victims,79.0,1013,0.0,0.0,0.0,375.0,559.0
Jharkhand,2003,Murder - Male Victims,1. Male Victims,85.0,1086,2.0,5.0,1.0,506.0,487.0
Karnataka,2003,Murder - Male Victims,1. Male Victims,111.0,1051,11.0,41.0,50.0,399.0,439.0
Kerala,2003,Murder - Male Victims,1. Male Victims,56.0,309,1.0,7.0,2.0,92.0,151.0
Madhya Pradesh,2003,Murder - Male Victims,1. Male Victims,104.0,1773,21.0,25.0,60.0,790.0,773.0
Maharashtra,2003,Murder - Male Victims,1. Male Victims,304.0,1955,22.0,63.0,23.0,717.0,826.0
Manipur,2003,Murder - Male Victims,1. Male Victims,9.0,174,0.0,0.0,0.0,109.0,56.0
Meghalaya,2003,Murder - Male Victims,1. Male Victims,3.0,165,0.0,1.0,11.0,60.0,90.0
Mizoram,2003,Murder - Male Victims,1. Male Victims,1.0,37,0.0,1.0,4.0,11.0,20.0
Nagaland,2003,Murder - Male Victims,1. Male Victims,0.0,85,0.0,0.0,0.0,65.0,20.0
Odisha,2003,Murder - Male Victims,1. Male Victims,65.0,769,4.0,5.0,10.0,363.0,322.0
Puducherry,2003,Murder - Male Victims,1. Male Victims,3.0,22,,1.0,,8.0,10.0
Punjab,2003,Murder - Male Victims,1. Male Victims,56.0,594,3.0,9.0,6.0,249.0,271.0
Rajasthan,2003,Murder - Male Victims,1. Male Victims,102.0,1013,4.0,11.0,3.0,437.0,456.0
Sikkim,2003,Murder - Male Victims,1. Male Victims,2.0,10,,,1.0,5.0,2.0
Tamil Nadu,2003,Murder - Male Victims,1. Male Victims,197.0,1111,4.0,4.0,15.0,357.0,534.0
Tripura,2003,Murder - Male Victims,1. Male Victims,30.0,231,,,0.0,117.0,84.0
Uttar Pradesh,2003,Murder - Male Victims,1. Male Victims,412.0,4285,87.0,27.0,206.0,2011.0,1542.0
Uttarakhand,2003,Murder - Male Victims,1. Male Victims,16.0,231,0.0,0.0,1.0,87.0,127.0
West Bengal,2003,Murder - Male Victims,1. Male Victims,52.0,1167,0.0,1.0,2.0,606.0,506.0
Andaman & Nicobar Islands,2004,Murder - Male Victims,1. Male Victims,2.0,10,0.0,1.0,0.0,2.0,5.0
Andhra Pradesh,2004,Murder - Male Victims,1. Male Victims,222.0,1985,15.0,22.0,15.0,856.0,855.0
Arunachal Pradesh,2004,Murder - Male Victims,1. Male Victims,3.0,65,0.0,0.0,0.0,36.0,26.0
Assam,2004,Murder - Male Victims,1. Male Victims,68.0,1130,0.0,1.0,0.0,636.0,425.0
Bihar,2004,Murder - Male Victims,1. Male Victims,178.0,3523,9.0,2.0,4.0,1906.0,1424.0
Chandigarh,2004,Murder - Male Victims,1. Male Victims,2.0,14,0.0,0.0,1.0,5.0,6.0
Chhattisgarh,2004,Murder - Male Victims,1. Male Victims,91.0,658,6.0,15.0,23.0,235.0,288.0
Dadra & Nagar Haveli,2004,Murder - Male Victims,1. Male Victims,1.0,9,0.0,0.0,1.0,3.0,4.0
Daman & Diu,2004,Murder - Male Victims,1. Male Victims,,2,,,,1.0,1.0
Delhi,2004,Murder - Male Victims,1. Male Victims,32.0,385,14.0,20.0,15.0,170.0,134.0
Goa,2004,Murder - Male Victims,1. Male Victims,3.0,25,,1.0,,8.0,13.0
Gujarat,2004,Murder - Male Victims,1. Male Victims,79.0,829,5.0,31.0,6.0,315.0,393.0
Haryana,2004,Murder - Male Victims,1. Male Victims,40.0,583,1.0,0.0,20.0,278.0,244.0
Himachal Pradesh,2004,Murder - Male Victims,1. Male Victims,16.0,85,3.0,2.0,0.0,30.0,34.0
Jammu & Kashmir,2004,Murder - Male Victims,1. Male Victims,70.0,882,,,,438.0,374.0
Jharkhand,2004,Murder - Male Victims,1. Male Victims,85.0,1089,2.0,5.0,1.0,507.0,489.0
Karnataka,2004,Murder - Male Victims,1. Male Victims,112.0,1006,3.0,24.0,2.0,432.0,433.0
Kerala,2004,Murder - Male Victims,1. Male Victims,62.0,290,2.0,24.0,3.0,68.0,131.0
Madhya Pradesh,2004,Murder - Male Victims,1. Male Victims,224.0,1886,18.0,7.0,96.0,826.0,715.0
Maharashtra,2004,Murder - Male Victims,1. Male Victims,204.0,1773,18.0,56.0,36.0,653.0,806.0
Manipur,2004,Murder - Male Victims,1. Male Victims,9.0,178,0.0,0.0,0.0,117.0,52.0
Meghalaya,2004,Murder - Male Victims,1. Male Victims,1.0,149,0.0,0.0,0.0,97.0,51.0
Mizoram,2004,Murder - Male Victims,1. Male Victims,5.0,31,0.0,0.0,0.0,13.0,13.0
Nagaland,2004,Murder - Male Victims,1. Male Victims,0.0,56,0.0,0.0,0.0,28.0,28.0
Odisha,2004,Murder - Male Victims,1. Male Victims,45.0,780,1.0,1.0,3.0,389.0,341.0
Puducherry,2004,Murder - Male Victims,1. Male Victims,2.0,22,,1.0,,11.0,8.0
Punjab,2004,Murder - Male Victims,1. Male Victims,60.0,608,4.0,10.0,9.0,250.0,275.0
Rajasthan,2004,Murder - Male Victims,1. Male Victims,127.0,1005,4.0,4.0,5.0,422.0,443.0
Sikkim,2004,Murder - Male Victims,1. Male Victims,2.0,13,0.0,1.0,0.0,2.0,8.0
Tamil Nadu,2004,Murder - Male Victims,1. Male Victims,189.0,1051,7.0,32.0,4.0,372.0,447.0
Tripura,2004,Murder - Male Victims,1. Male Victims,16.0,182,2.0,0.0,2.0,97.0,65.0
Uttar Pradesh,2004,Murder - Male Victims,1. Male Victims,464.0,5264,147.0,60.0,223.0,2224.0,2146.0
Uttarakhand,2004,Murder - Male Victims,1. Male Victims,20.0,220,0.0,2.0,0.0,108.0,90.0
West Bengal,2004,Murder - Male Victims,1. Male Victims,51.0,1008,0.0,0.0,0.0,518.0,439.0
Andaman & Nicobar Islands,2005,Murder - Male Victims,1. Male Victims,1.0,11,,1.0,,4.0,5.0
Andhra Pradesh,2005,Murder - Male Victims,1. Male Victims,245.0,2206,14.0,24.0,21.0,953.0,949.0
Arunachal Pradesh,2005,Murder - Male Victims,1. Male Victims,2.0,80,0.0,0.0,0.0,58.0,20.0
Assam,2005,Murder - Male Victims,1. Male Victims,72.0,1129,4.0,0.0,9.0,672.0,372.0
Bihar,2005,Murder - Male Victims,1. Male Victims,173.0,3029,8.0,5.0,10.0,1850.0,983.0
Chandigarh,2005,Murder - Male Victims,1. Male Victims,0.0,15,0.0,2.0,0.0,6.0,7.0
Chhattisgarh,2005,Murder - Male Victims,1. Male Victims,88.0,727,8.0,7.0,7.0,280.0,337.0
Dadra & Nagar Haveli,2005,Murder - Male Victims,1. Male Victims,2.0,7,,1.0,1.0,2.0,1.0
Daman & Diu,2005,Murder - Male Victims,1. Male Victims,,5,1.0,,,4.0,
Delhi,2005,Murder - Male Victims,1. Male Victims,25.0,375,9.0,10.0,4.0,197.0,130.0
Goa,2005,Murder - Male Victims,1. Male Victims,4.0,35,1.0,,,7.0,23.0
Gujarat,2005,Murder - Male Victims,1. Male Victims,84.0,757,9.0,41.0,10.0,293.0,320.0
Haryana,2005,Murder - Male Victims,1. Male Victims,67.0,669,7.0,6.0,17.0,286.0,286.0
Himachal Pradesh,2005,Murder - Male Victims,1. Male Victims,14.0,82,0.0,3.0,1.0,27.0,37.0
Jammu & Kashmir,2005,Murder - Male Victims,1. Male Victims,45.0,644,0.0,2.0,0.0,361.0,236.0
Jharkhand,2005,Murder - Male Victims,1. Male Victims,114.0,1350,23.0,5.0,69.0,390.0,749.0
Karnataka,2005,Murder - Male Victims,1. Male Victims,131.0,1088,0.0,22.0,3.0,473.0,459.0
Kerala,2005,Murder - Male Victims,1. Male Victims,62.0,284,4.0,18.0,4.0,62.0,134.0
Madhya Pradesh,2005,Murder - Male Victims,1. Male Victims,229.0,1900,20.0,25.0,60.0,771.0,795.0
Maharashtra,2005,Murder - Male Victims,1. Male Victims,225.0,1765,26.0,77.0,26.0,634.0,777.0
Manipur,2005,Murder - Male Victims,1. Male Victims,6.0,276,0.0,0.0,0.0,174.0,96.0
Meghalaya,2005,Murder - Male Victims,1. Male Victims,4.0,119,1.0,2.0,3.0,49.0,60.0
Mizoram,2005,Murder - Male Victims,1. Male Victims,5.0,31,0.0,0.0,0.0,13.0,13.0
Nagaland,2005,Murder - Male Victims,1. Male Victims,3.0,74,0.0,0.0,0.0,35.0,36.0
Odisha,2005,Murder - Male Victims,1. Male Victims,55.0,807,1.0,2.0,1.0,373.0,375.0
Puducherry,2005,Murder - Male Victims,1. Male Victims,,10,,,,3.0,7.0
Punjab,2005,Murder - Male Victims,1. Male Victims,55.0,557,5.0,7.0,5.0,244.0,241.0
Rajasthan,2005,Murder - Male Victims,1. Male Victims,95.0,950,7.0,7.0,16.0,399.0,426.0
Sikkim,2005,Murder - Male Victims,1. Male Victims,1.0,5,1.0,,,1.0,2.0
Tamil Nadu,2005,Murder - Male Victims,1. Male Victims,183.0,1049,3.0,22.0,3.0,353.0,485.0
Tripura,2005,Murder - Male Victims,1. Male Victims,10.0,94,,,0.0,42.0,42.0
Uttar Pradesh,2005,Murder - Male Victims,1. Male Victims,483.0,5011,65.0,25.0,159.0,2425.0,1854.0
Uttarakhand,2005,Murder - Male Victims,1. Male Victims,28.0,237,2.0,2.0,0.0,102.0,103.0
West Bengal,2005,Murder - Male Victims,1. Male Victims,60.0,1089,1.0,0.0,0.0,673.0,355.0
Andaman & Nicobar Islands,2006,Murder - Male Victims,1. Male Victims,2.0,4,,,,1.0,1.0
Andhra Pradesh,2006,Murder - Male Victims,1. Male Victims,312.0,2196,11.0,12.0,4.0,1045.0,812.0
Arunachal Pradesh,2006,Murder - Male Victims,1. Male Victims,0.0,60,0.0,0.0,0.0,40.0,20.0
Assam,2006,Murder - Male Victims,1. Male Victims,81.0,1131,4.0,0.0,7.0,648.0,391.0
Bihar,2006,Murder - Male Victims,1. Male Victims,103.0,2836,1.0,1.0,5.0,1651.0,1075.0
Chandigarh,2006,Murder - Male Victims,1. Male Victims,2.0,10,0.0,1.0,0.0,2.0,5.0
Chhattisgarh,2006,Murder - Male Victims,1. Male Victims,101.0,762,5.0,8.0,14.0,268.0,366.0
Dadra & Nagar Haveli,2006,Murder - Male Victims,1. Male Victims,1.0,6,0.0,1.0,0.0,1.0,3.0
Daman & Diu,2006,Murder - Male Victims,1. Male Victims,0.0,5,0.0,0.0,0.0,3.0,2.0
Delhi,2006,Murder - Male Victims,1. Male Victims,20.0,360,10.0,18.0,16.0,208.0,88.0
Goa,2006,Murder - Male Victims,1. Male Victims,8.0,30,,,1.0,8.0,13.0
Gujarat,2006,Murder - Male Victims,1. Male Victims,67.0,848,13.0,46.0,10.0,347.0,365.0
Haryana,2006,Murder - Male Victims,1. Male Victims,48.0,743,8.0,0.0,19.0,314.0,354.0
Himachal Pradesh,2006,Murder - Male Victims,1. Male Victims,7.0,98,0.0,3.0,0.0,37.0,51.0
Jammu & Kashmir,2006,Murder - Male Victims,1. Male Victims,16.0,565,0.0,2.0,2.0,287.0,258.0
Jharkhand,2006,Murder - Male Victims,1. Male Victims,225.0,1278,17.0,11.0,71.0,474.0,480.0
Karnataka,2006,Murder - Male Victims,1. Male Victims,100.0,1089,10.0,28.0,6.0,463.0,482.0
Kerala,2006,Murder - Male Victims,1. Male Victims,51.0,288,1.0,30.0,1.0,72.0,133.0
Madhya Pradesh,2006,Murder - Male Victims,1. Male Victims,288.0,1820,22.0,34.0,54.0,700.0,722.0
Maharashtra,2006,Murder - Male Victims,1. Male Victims,291.0,1966,24.0,84.0,27.0,726.0,814.0
Manipur,2006,Murder - Male Victims,1. Male Victims,16.0,229,2.0,0.0,4.0,122.0,85.0
Meghalaya,2006,Murder - Male Victims,1. Male Victims,3.0,146,0.0,1.0,5.0,75.0,62.0
Mizoram,2006,Murder - Male Victims,1. Male Victims,0.0,22,0.0,0.0,0.0,17.0,5.0
Nagaland,2006,Murder - Male Victims,1. Male Victims,0.0,115,1.0,4.0,4.0,74.0,32.0
Odisha,2006,Murder - Male Victims,1. Male Victims,42.0,783,4.0,0.0,9.0,368.0,360.0
Puducherry,2006,Murder - Male Victims,1. Male Victims,2.0,21,,,1.0,9.0,9.0
Punjab,2006,Murder - Male Victims,1. Male Victims,87.0,614,1.0,7.0,6.0,266.0,247.0
Rajasthan,2006,Murder - Male Victims,1. Male Victims,115.0,989,16.0,19.0,19.0,392.0,428.0
Sikkim,2006,Murder - Male Victims,1. Male Victims,3.0,14,,,4.0,2.0,5.0
Tamil Nadu,2006,Murder - Male Victims,1. Male Victims,154.0,903,7.0,15.0,2.0,286.0,439.0
Tripura,2006,Murder - Male Victims,1. Male Victims,14.0,131,2.0,1.0,,49.0,65.0
Uttar Pradesh,2006,Murder - Male Victims,1. Male Victims,453.0,4835,98.0,23.0,149.0,2405.0,1707.0
Uttarakhand,2006,Murder - Male Victims,1. Male Victims,10.0,230,2.0,0.0,5.0,79.0,134.0
West Bengal,2006,Murder - Male Victims,1. Male Victims,52.0,995,0.0,1.0,2.0,546.0,394.0
Andaman & Nicobar Islands,2007,Murder - Male Victims,1. Male Victims,2.0,9,,,,3.0,4.0
Andhra Pradesh,2007,Murder - Male Victims,1. Male Victims,206.0,1964,8.0,19.0,29.0,874.0,828.0
Arunachal Pradesh,2007,Murder - Male Victims,1. Male Victims,1.0,65,0.0,0.0,0.0,41.0,23.0
Assam,2007,Murder - Male Victims,1. Male Victims,97.0,1286,1.0,0.0,1.0,766.0,421.0
Bihar,2007,Murder - Male Victims,1. Male Victims,152.0,2691,23.0,12.0,41.0,1451.0,1012.0
Chandigarh,2007,Murder - Male Victims,1. Male Victims,0.0,14,0.0,0.0,0.0,7.0,7.0
Chhattisgarh,2007,Murder - Male Victims,1. Male Victims,156.0,787,11.0,10.0,14.0,281.0,315.0
Dadra & Nagar Haveli,2007,Murder - Male Victims,1. Male Victims,,6,,1.0,,1.0,4.0
Daman & Diu,2007,Murder - Male Victims,1. Male Victims,4.0,11,1.0,1.0,0.0,3.0,2.0
Delhi,2007,Murder - Male Victims,1. Male Victims,28.0,384,5.0,14.0,20.0,205.0,112.0
Goa,2007,Murder - Male Victims,1. Male Victims,4.0,18,,,,3.0,11.0
Gujarat,2007,Murder - Male Victims,1. Male Victims,99.0,900,10.0,38.0,13.0,289.0,451.0
Haryana,2007,Murder - Male Victims,1. Male Victims,53.0,775,20.0,19.0,29.0,332.0,322.0
Himachal Pradesh,2007,Murder - Male Victims,1. Male Victims,14.0,97,2.0,3.0,1.0,31.0,46.0
Jammu & Kashmir,2007,Murder - Male Victims,1. Male Victims,16.0,326,0.0,0.0,0.0,170.0,140.0
Jharkhand,2007,Murder - Male Victims,1. Male Victims,102.0,1380,12.0,0.0,5.0,550.0,711.0
Karnataka,2007,Murder - Male Victims,1. Male Victims,133.0,1081,5.0,15.0,6.0,381.0,541.0
Kerala,2007,Murder - Male Victims,1. Male Victims,57.0,252,8.0,17.0,1.0,54.0,115.0
Madhya Pradesh,2007,Murder - Male Victims,1. Male Victims,217.0,1764,27.0,48.0,34.0,697.0,741.0
Maharashtra,2007,Murder - Male Victims,1. Male Victims,259.0,1779,24.0,92.0,27.0,654.0,723.0
Manipur,2007,Murder - Male Victims,1. Male Victims,8.0,275,1.0,1.0,4.0,140.0,121.0
Meghalaya,2007,Murder - Male Victims,1. Male Victims,9.0,107,3.0,0.0,7.0,36.0,52.0
Mizoram,2007,Murder - Male Victims,1. Male Victims,2.0,25,0.0,0.0,1.0,15.0,7.0
Nagaland,2007,Murder - Male Victims,1. Male Victims,3.0,104,0.0,0.0,1.0,42.0,58.0
Odisha,2007,Murder - Male Victims,1. Male Victims,38.0,863,10.0,4.0,11.0,395.0,405.0
Puducherry,2007,Murder - Male Victims,1. Male Victims,1.0,25,,1.0,1.0,17.0,5.0
Punjab,2007,Murder - Male Victims,1. Male Victims,67.0,601,8.0,7.0,6.0,266.0,247.0
Rajasthan,2007,Murder - Male Victims,1. Male Victims,103.0,1040,17.0,18.0,26.0,393.0,483.0
Sikkim,2007,Murder - Male Victims,1. Male Victims,1.0,6,,,,3.0,2.0
Tamil Nadu,2007,Murder - Male Victims,1. Male Victims,228.0,1107,6.0,18.0,2.0,346.0,507.0
Tripura,2007,Murder - Male Victims,1. Male Victims,17.0,100,4.0,,2.0,33.0,44.0
Uttar Pradesh,2007,Murder - Male Victims,1. Male Victims,378.0,4283,97.0,37.0,102.0,2050.0,1619.0
Uttarakhand,2007,Murder - Male Victims,1. Male Victims,18.0,191,1.0,3.0,5.0,111.0,53.0
West Bengal,2007,Murder - Male Victims,1. Male Victims,57.0,1006,2.0,1.0,2.0,527.0,417.0
Andaman & Nicobar Islands,2008,Murder - Male Victims,1. Male Victims,2.0,6,,,,2.0,2.0
Andhra Pradesh,2008,Murder - Male Victims,1. Male Victims,221.0,1932,14.0,11.0,55.0,855.0,776.0
Arunachal Pradesh,2008,Murder - Male Victims,1. Male Victims,2.0,71,0.0,0.0,0.0,40.0,29.0
Assam,2008,Murder - Male Victims,1. Male Victims,55.0,1323,1.0,0.0,0.0,790.0,477.0
Bihar,2008,Murder - Male Victims,1. Male Victims,96.0,2502,11.0,25.0,48.0,1401.0,921.0
Chandigarh,2008,Murder - Male Victims,1. Male Victims,1.0,11,0.0,0.0,0.0,7.0,3.0
Chhattisgarh,2008,Murder - Male Victims,1. Male Victims,112.0,806,12.0,13.0,29.0,282.0,358.0
Dadra & Nagar Haveli,2008,Murder - Male Victims,1. Male Victims,2.0,5,,,,,3.0
Daman & Diu,2008,Murder - Male Victims,1. Male Victims,0.0,2,0.0,0.0,,0.0,2.0
Delhi,2008,Murder - Male Victims,1. Male Victims,36.0,473,8.0,21.0,15.0,139.0,254.0
Goa,2008,Murder - Male Victims,1. Male Victims,6.0,33,,,,10.0,17.0
Gujarat,2008,Murder - Male Victims,1. Male Victims,78.0,805,6.0,23.0,8.0,312.0,378.0
Haryana,2008,Murder - Male Victims,1. Male Victims,100.0,785,6.0,4.0,8.0,307.0,360.0
Himachal Pradesh,2008,Murder - Male Victims,1. Male Victims,10.0,94,1.0,3.0,4.0,27.0,49.0
Jammu & Kashmir,2008,Murder - Male Victims,1. Male Victims,16.0,236,0.0,0.0,0.0,94.0,126.0
Jharkhand,2008,Murder - Male Victims,1. Male Victims,73.0,1431,0.0,2.0,6.0,726.0,624.0
Karnataka,2008,Murder - Male Victims,1. Male Victims,129.0,1176,11.0,58.0,18.0,428.0,532.0
Kerala,2008,Murder - Male Victims,1. Male Victims,54.0,251,5.0,14.0,,62.0,116.0
Madhya Pradesh,2008,Murder - Male Victims,1. Male Victims,248.0,1835,55.0,11.0,11.0,695.0,815.0
Maharashtra,2008,Murder - Male Victims,1. Male Victims,262.0,1927,32.0,54.0,20.0,700.0,859.0
Manipur,2008,Murder - Male Victims,1. Male Victims,12.0,249,4.0,3.0,3.0,132.0,95.0
Meghalaya,2008,Murder - Male Victims,1. Male Victims,9.0,111,0.0,0.0,0.0,54.0,48.0
Mizoram,2008,Murder - Male Victims,1. Male Victims,0.0,33,0.0,0.0,0.0,23.0,10.0
Nagaland,2008,Murder - Male Victims,1. Male Victims,3.0,141,0.0,0.0,0.0,81.0,57.0
Odisha,2008,Murder - Male Victims,1. Male Victims,51.0,705,2.0,4.0,3.0,276.0,369.0
Puducherry,2008,Murder - Male Victims,1. Male Victims,3.0,27,,1.0,,12.0,11.0
Punjab,2008,Murder - Male Victims,1. Male Victims,66.0,596,4.0,7.0,6.0,266.0,247.0
Rajasthan,2008,Murder - Male Victims,1. Male Victims,101.0,1033,18.0,13.0,36.0,398.0,467.0
Sikkim,2008,Murder - Male Victims,1. Male Victims,,6,,,2.0,1.0,3.0
Tamil Nadu,2008,Murder - Male Victims,1. Male Victims,234.0,1200,5.0,43.0,0.0,364.0,554.0
Tripura,2008,Murder - Male Victims,1. Male Victims,13.0,103,7.0,4.0,3.0,21.0,55.0
Uttar Pradesh,2008,Murder - Male Victims,1. Male Victims,331.0,3859,69.0,30.0,119.0,1927.0,1383.0
Uttarakhand,2008,Murder - Male Victims,1. Male Victims,25.0,213,,1.0,2.0,139.0,46.0
West Bengal,2008,Murder - Male Victims,1. Male Victims,149.0,1561,5.0,1.0,9.0,735.0,662.0
Andaman & Nicobar Islands,2009,Murder - Male Victims,1. Male Victims,,10,,2.0,,3.0,5.0
Andhra Pradesh,2009,Murder - Male Victims,1. Male Victims,184.0,1675,12.0,12.0,22.0,668.0,777.0
Arunachal Pradesh,2009,Murder - Male Victims,1. Male Victims,0.0,58,0.0,0.0,0.0,30.0,28.0
Assam,2009,Murder - Male Victims,1. Male Victims,40.0,1226,0.0,0.0,4.0,784.0,398.0
Bihar,2009,Murder - Male Victims,1. Male Victims,125.0,2507,21.0,13.0,51.0,1419.0,878.0
Chandigarh,2009,Murder - Male Victims,1. Male Victims,1.0,19,0.0,1.0,0.0,11.0,6.0
Chhattisgarh,2009,Murder - Male Victims,1. Male Victims,117.0,757,9.0,24.0,27.0,231.0,349.0
Dadra & Nagar Haveli,2009,Murder - Male Victims,1. Male Victims,1.0,4,,1.0,,1.0,1.0
Daman & Diu,2009,Murder - Male Victims,1. Male Victims,,4,,,,1.0,3.0
Delhi,2009,Murder - Male Victims,1. Male Victims,23.0,445,17.0,17.0,28.0,243.0,117.0
Goa,2009,Murder - Male Victims,1. Male Victims,3.0,26,0.0,2.0,0.0,8.0,13.0
Gujarat,2009,Murder - Male Victims,1. Male Victims,56.0,734,9.0,24.0,4.0,266.0,375.0
Haryana,2009,Murder - Male Victims,1. Male Victims,83.0,786,4.0,2.0,9.0,331.0,357.0
Himachal Pradesh,2009,Murder - Male Victims,1. Male Victims,14.0,94,1.0,0.0,2.0,31.0,46.0
Jammu & Kashmir,2009,Murder - Male Victims,1. Male Victims,10.0,216,0.0,1.0,3.0,98.0,104.0
Jharkhand,2009,Murder - Male Victims,1. Male Victims,81.0,1435,1.0,3.0,5.0,609.0,736.0
Karnataka,2009,Murder - Male Victims,1. Male Victims,121.0,1073,14.0,12.0,5.0,363.0,558.0
Kerala,2009,Murder - Male Victims,1. Male Victims,58.0,260,7.0,25.0,1.0,60.0,109.0
Madhya Pradesh,2009,Murder - Male Victims,1. Male Victims,257.0,1777,20.0,42.0,25.0,672.0,761.0
Maharashtra,2009,Murder - Male Victims,1. Male Victims,216.0,1712,11.0,63.0,20.0,681.0,721.0
Manipur,2009,Murder - Male Victims,1. Male Victims,16.0,156,1.0,2.0,3.0,56.0,78.0
Meghalaya,2009,Murder - Male Victims,1. Male Victims,7.0,106,2.0,0.0,3.0,69.0,25.0
Mizoram,2009,Murder - Male Victims,1. Male Victims,,28,,,,8.0,20.0
Nagaland,2009,Murder - Male Victims,1. Male Victims,1.0,40,0.0,0.0,0.0,21.0,18.0
Odisha,2009,Murder - Male Victims,1. Male Victims,118.0,806,0.0,1.0,8.0,336.0,343.0
