AREA_NAME,YEAR,GROUP_NAME,SUB_GROUP_NAME,AUTO_THEFT_COORDINATED_TRACED,AUTO_THEFT_RECOVERED,AUTO_THEFT_STOLEN
Delhi,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,4.0,754.0,5936
Goa,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,4.0,67.0,213
Gujarat,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,637.0,1972.0,8976
Haryana,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,300.0,1618.0,5779
Himachal Pradesh,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,23.0,48.0,153
Jammu & Kashmir,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,4.0,78.0,430
Jharkhand,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,280.0,2156
Karnataka,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,313.0,1679.0,7552
Kerala,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,40.0,423.0,1329
Lakshadweep,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1.0,1.0,1
Madhya Pradesh,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,1997.0,10088
Maharashtra,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,693.0,2803.0,13589
Manipur,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,10.0,5.0,232
Meghalaya,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,7.0,47
Mizoram,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,19.0,25
Nagaland,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,7.0,121
Odisha,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,582.0,1771
Puducherry,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,147.0,418
Punjab,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,426.0,463.0,1307
Rajasthan,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,250.0,1216.0,7837
Sikkim,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1.0,1.0,1
Tamil Nadu,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2035.0,2672.0,3424
Tripura,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,15.0,54
Uttar Pradesh,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,209.0,1702.0,8419
Uttarakhand,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,127.0,506
West Bengal,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,356.0,2158
Andaman & Nicobar Islands,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,8.0,9
Andhra Pradesh,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,659.0,3625.0,7244
Arunachal Pradesh,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,7.0,30.0,83
Assam,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,43.0,214.0,1135
Bihar,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,118.0,338.0,3200
Chandigarh,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,199.0,648
Chhattisgarh,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,582.0,1882
Dadra & Nagar Haveli,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,2.0,10
Daman & Diu,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,5.0,27
Delhi,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,438.0,1164.0,7843
Goa,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,5.0,71.0,310
Gujarat,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,918.0,2445.0,9821
Haryana,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,307.0,1727.0,6070
Himachal Pradesh,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,12.0,56.0,129
Jammu & Kashmir,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,73.0,362
Jharkhand,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,477.0,2168
Karnataka,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,227.0,2263.0,9724
Kerala,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,24.0,550.0,1498
Lakshadweep,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,1.0,1
Madhya Pradesh,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,2027.0,9826
Maharashtra,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1083.0,3731.0,14723
Manipur,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,5.0,5.0,253
Meghalaya,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,3.0,7.0,99
Mizoram,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,26.0,26.0,33
Nagaland,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,9.0,83
Odisha,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,108.0,571.0,2081
Puducherry,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,77.0,243.0,487
Punjab,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,215.0,764.0,1746
Rajasthan,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,374.0,1507.0,9787
Sikkim,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,,1
Tamil Nadu,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2800.0,3571.0,4865
Tripura,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,24.0,63
Uttar Pradesh,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,212.0,1718.0,11181
Uttarakhand,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,193.0,556
West Bengal,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,265.0,477.0,3034
Andaman & Nicobar Islands,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,12.0,21
Andhra Pradesh,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,648.0,4298.0,6116
Arunachal Pradesh,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,3.0,44.0,133
Assam,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,26.0,126.0,458
Bihar,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,5.0,324.0,3575
Chandigarh,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,178.0,536
Chhattisgarh,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,508.0,1848
Dadra & Nagar Haveli,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,8.0,23
Daman & Diu,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,9.0,25
Delhi,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,58.0,1225.0,9085
Goa,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,7.0,125.0,337
Gujarat,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,724.0,2122.0,8403
Haryana,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,513.0,2248.0,8687
Himachal Pradesh,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,48.0,137
Jammu & Kashmir,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,5.0,94.0,510
Jharkhand,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,27.0,373.0,2268
Karnataka,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,263.0,2732.0,9001
Kerala,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2.0,495.0,1142
Madhya Pradesh,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,196.0,2339.0,10870
Maharashtra,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,932.0,3791.0,15126
Manipur,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,12.0,12.0,236
Meghalaya,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,21.0,99
Mizoram,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,30.0,30.0,38
Nagaland,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,12.0,140
Odisha,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,4.0,673.0,2250
Puducherry,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,156.0,156.0,371
Punjab,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,390.0,812.0,1572
Rajasthan,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,791.0,1715.0,11199
Sikkim,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,4.0,6
Tamil Nadu,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2368.0,3234.0,4791
Tripura,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,21.0,43
Uttar Pradesh,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,394.0,1921.0,13168
Uttarakhand,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,203.0,727
West Bengal,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,41.0,491.0,3539
Andhra Pradesh,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,31.0,124.0,309
Arunachal Pradesh,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,6.0,9
Assam,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,4.0,15
Bihar,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,7.0,43.0,175
Chandigarh,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,90.0,206
Chhattisgarh,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,3.0,47.0,105
Dadra & Nagar Haveli,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,1.0,2
Delhi,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,113.0,1151.0,4075
Goa,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,2.0,16.0,23
Gujarat,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,36.0,130.0,460
Haryana,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,32.0,457.0,843
Himachal Pradesh,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,4.0,60.0,87
Jammu & Kashmir,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,55.0,169
Jharkhand,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,3.0,7.0,16
Karnataka,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,43.0,183.0,597
Kerala,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,17.0,132.0,499
Madhya Pradesh,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,118.0,289
Maharashtra,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,466.0,595.0,1960
Manipur,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,1.0,6
Meghalaya,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,4.0,20
Mizoram,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,1.0,5.0,5
Nagaland,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,14.0,64
Odisha,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,15.0,43
Puducherry,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,1.0,1.0,3
Punjab,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,94.0,184.0,502
Rajasthan,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,11.0,160.0,570
Sikkim,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,2.0,4
Tamil Nadu,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,126.0,197
Uttar Pradesh,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,18.0,366.0,1565
Uttarakhand,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,31.0,132
West Bengal,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,251.0,499
Andhra Pradesh,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,117.0,190
Arunachal Pradesh,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,2.0,2
Assam,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,7.0,22
Bihar,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,6.0,57.0,122
Chandigarh,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,101.0,286
Chhattisgarh,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,45.0,128
Dadra & Nagar Haveli,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,1.0,6
Daman & Diu,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,3.0,4
Delhi,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,102.0,880.0,3632
Goa,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,5.0,8
Gujarat,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,29.0,172.0,565
Haryana,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,410.0,780
Himachal Pradesh,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,8.0,41.0,67
Jammu & Kashmir,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,3.0,95.0,308
Jharkhand,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,43.0,104
Karnataka,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,32.0,153.0,523
Kerala,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,10.0,207.0,623
Madhya Pradesh,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,3.0,126.0,318
Maharashtra,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,68.0,497.0,1931
Manipur,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,4.0,16
Meghalaya,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,4.0,20
Mizoram,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,11.0,11
Nagaland,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,6.0,50
Odisha,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,4.0,19.0,45
Puducherry,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,4.0,5
Punjab,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,171.0,236.0,477
Rajasthan,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,19.0,178.0,594
Sikkim,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,5.0,5
Tamil Nadu,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,2.0,120.0,158
Tripura,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,1.0,1
Uttar Pradesh,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,2.0,440.0,1385
Uttarakhand,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,33.0,97
West Bengal,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,64.0,211.0,586
Andaman & Nicobar Islands,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,,1
Andhra Pradesh,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,2.0,127.0,366
Arunachal Pradesh,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,1.0,1
Assam,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,67.0,210
Bihar,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,7.0,32.0,118
Chandigarh,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,149.0,284
Chhattisgarh,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,45.0,101
Dadra & Nagar Haveli,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,4.0,4
Daman & Diu,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,1.0,1
Delhi,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,184.0,625.0,3626
Goa,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,2.0,8
Gujarat,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,52.0,370.0,661
Haryana,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,33.0,363.0,784
Himachal Pradesh,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,1.0,48.0,92
Jammu & Kashmir,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,2.0,53.0,206
Jharkhand,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,66.0,191
Karnataka,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,1.0,116.0,351
Kerala,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,170.0,512
Madhya Pradesh,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,379.0,714
Maharashtra,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,170.0,446.0,1855
Manipur,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,7.0,13
Meghalaya,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,9.0,61
Mizoram,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,20.0,20
Nagaland,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,4.0,15
Odisha,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,4.0,22.0,66
Puducherry,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,,7
Punjab,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,105.0,169.0,457
Rajasthan,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,23.0,186.0,665
Sikkim,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,3.0,3
Tamil Nadu,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,54.0,109.0,166
Tripura,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,1.0,1
Uttar Pradesh,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,1.0,400.0,1162
Uttarakhand,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,34.0,80
West Bengal,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,115.0,168.0,392
Andhra Pradesh,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,38.0,182.0,414
Arunachal Pradesh,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,0.0,0
Assam,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,52.0,249
Bihar,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,32.0,185
Chandigarh,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,98.0,289
Chhattisgarh,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,22.0,56
Dadra & Nagar Haveli,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,2.0,5
Daman & Diu,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,1.0,2
Delhi,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,178.0,647.0,3850
Goa,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,4.0,9
Gujarat,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,46.0,217.0,596
Haryana,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,379.0,929
Himachal Pradesh,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,6.0,45.0,108
Jammu & Kashmir,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,3.0,46.0,179
Jharkhand,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,43.0,104
Karnataka,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,1.0,203.0,872
Kerala,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,208.0,437
Madhya Pradesh,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,10.0,160.0,484
Maharashtra,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,44.0,564.0,2136
Manipur,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,0.0,2
Meghalaya,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,23.0,91
Mizoram,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,0.0,0
Nagaland,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,11.0,10.0,49
Odisha,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,4.0,13.0,21
Puducherry,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,2.0,4
Punjab,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,108.0,160.0,440
Rajasthan,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,13.0,266.0,859
Sikkim,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,3.0,3
Tamil Nadu,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,71.0,95.0,128
Tripura,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,4.0,4
Uttar Pradesh,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,60.0,343.0,1793
Uttarakhand,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,18.0,74
West Bengal,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,104.0,250
Andhra Pradesh,2005,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,126.0,347
Arunachal Pradesh,2005,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,1.0,2
Assam,2005,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,3.0,72.0,247
Bihar,2005,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,21.0,83
Chandigarh,2005,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,64.0,201
Chhattisgarh,2005,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,47.0,83
Dadra & Nagar Haveli,2005,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,,3
Daman & Diu,2005,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,,4
Delhi,2005,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,85.0,784.0,3515
Goa,2005,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,9.0,31
Gujarat,2005,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,34.0,158.0,629
Haryana,2005,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,391.0,1142
Himachal Pradesh,2005,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,40.0,67
Jammu & Kashmir,2005,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,4.0,33.0,164
Jharkhand,2005,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,3.0,27.0,251
Karnataka,2005,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,8.0,211.0,606
Kerala,2005,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,112.0,482
Madhya Pradesh,2005,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,225.0,554
Maharashtra,2005,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,63.0,378.0,2129
Manipur,2005,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,0.0,2
